code,descr
04.03.01.030-6,TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL AGUDO
04.03.01.031-4,TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL CRONICO
04.03.01.032-2,TRATAMENTO CIRÚRGICO DE OSTEOMIELITE DO CRÂNIO
04.03.01.033-0,TRATAMENTO CIRURGICO DE PLATIBASIA E MALFORMACAO DE ARNOLD CHIARI
04.03.01.034-9,TREPANACAO CRANIANA PARA PROPEDEUTICA NEUROCIRURGICA / IMPLANTE PARA MONITORIZACAO PIC
04.03.01.035-7,TREPANAÇÃO CRANIANA PARA PUNÇÃO OU BIÓPSIA (COM TÉCNICA COMPLEMENTAR)
04.03.01.036-5,TREPANAÇÃO CRANIANA PARA PUNÇÃO OU BIÓPSIA
04.03.01.039-0,DRENAGEM LIQUÓRICA LOMBAR EXTERNA
04.03.02.001-8,ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (2 OU MAIS NERVOS)
04.03.02.002-6,ENXERTO MICROCIRURGICO DE NERVO PERIFERICO (ÚNICO NERVO)
04.03.02.003-4,MICROCIRURGIA DE PLEXO BRAQUIAL COM EXPLORAÇÃO E NEUROLISE
04.03.02.004-2,MICROCIRURGIA DE PLEXO BRAQUIAL COM MICROENXERTIA
04.03.02.005-0,MICRONEUROLISE DE NERVO PERIFERICO
04.03.02.006-9,MICRONEURORRAFIA
04.03.02.007-7,NEUROLISE NAO FUNCIONAL DE NERVOS PERIFERICOS
04.03.02.008-5,NEURORRAFIA
04.03.02.009-3,NEUROTOMIA SELETIVA DE TRIGEMEO E OUTROS NERVOS CRANIANOS
04.03.02.010-7,TRANSPOSICAO DO NERVO CUBITAL
04.03.02.011-5,TRATAMENTO CIRURGICO DE NEUROPATIA COMPRESSIVA COM OU SEM MICROCIRURGIA
04.03.02.012-3,TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO
04.03.02.013-1,TRATAMENTO MICROCIRURGICO DE TUMOR DE NERVO PERIFERICO / NEUROMA
04.03.03.001-3,CRANIOTOMIA PARA BIOPSIA ENCEFALICA
04.03.03.002-1,CRANIOTOMIA PARA BIOPSIA ENCEFALICA (COM TÉCNICA COMPLEMENTAR)
04.03.03.003-0,CRANIOTOMIA PARA RETIRADA DE TUMOR CEREBRAL INCLUSIVO DA FOSSA POSTERIOR
04.03.03.004-8,CRANIOTOMIA PARA RETIRADA DE TUMOR INTRACRANIANO
04.03.03.005-6,CRANIECTOMIA POR TUMOR OSSEO
04.03.03.006-4,HIPOFISECTOMIA TRANSESFENOIDAL POR TECNICA COMPLEMENTAR
04.03.03.008-0,MICROCIRURGIA DE TUMOR INTRADURAL E EXTRAMEDULAR
04.03.03.009-9,MICROCIRURGIA DE TUMOR MEDULAR COM TECNICA COMPLEMENTAR
04.03.03.010-2,MICROCIRURGIA DE TUMOR MEDULAR
04.03.03.011-0,MICROCIRURGIA PARA BIOPSIA DE MEDULA ESPINHAL OU RAIZES
04.03.03.012-9,MICROCIRURGIA PARA TUMOR DA BASE DO CRANIO
04.03.03.013-7,MICROCIRURGIA PARA TUMOR DE ÓRBITA
04.03.03.014-5,MICROCIRURGIA PARA TUMOR INTRACRANIANO
04.03.03.015-3,MICROCIRURGIA PARA TUMOR INTRACRANIANO (COM TECNICA COMPLEMENTAR)
04.03.03.016-1,RESSECÇÃO DE TUMOR RAQUIMEDULAR EXTRADURAL
04.03.04.001-9,ANASTOMOSE VASCULAR EXTRA / INTRACRANIANA
04.03.04.002-7,DESCOMPRESSAO NEUROVASCULAR DE NERVOS CRANIANOS
04.03.04.005-1,MICROCIRURGIA PARA MALFORMACAO ARTERIO-VENOSA CEREBRAL
04.03.04.006-0,MICROCIRURGIA PARA MALFORMAÇÃO ARTERIO-VENOSA CEREBRAL PROFUNDA
04.03.04.007-8,MICROCIRURGIA VASCULAR INTRACRANIANA (COM TÉCNICA COMPLEMENTAR)
04.03.04.008-6,TRATAMENTO CIRURGICO DE FISTULA CAROTIDEO-CAVERNOSA
04.03.04.009-4,MICROCIRURGIA PARA ANEURISMA DA CIRCULAÇÃO CEREBRAL ANTERIOR MAIOR QUE 1,5 CM
04.03.04.010-8,MICROCIRURGIA PARA ANEURISMA DA CIRCULAÇÃO CEREBRAL POSTERIOR MAIOR QUE 1,5 CM
04.03.04.011-6,MICROCIRURGIA P/ARA ANEURISMA DA CIRCULAÇÃO CEREBRAL ANTERIOR MENOR QUE 1,5 CM
04.03.04.012-4,MICROCIRURGIA PARA ANEURISMA DA CIRCULAÇÃO CEREBRAL POSTERIOR MENOR QUE 1,5 CM
04.03.05.001-4,ALCOOLIZAÇÃO DE NERVO CRANIANO
04.03.05.002-2,NEURÓLISE DO TRIGÊMEO COM GLICEROL
04.03.05.003-0,BLOQUEIOS PROLONGADOS DE SISTEMA NERVOSO PERIFERICO / CENTRAL COM BOMBA DE INFUSAO
04.03.05.004-9,CORDOTOMIA / MIELOTOMIA POR RADIOFREQUENCIA
04.03.05.005-7,IMPLANTE INTRATECAL DE BOMBA DE INFUSAO DE FARMACOS
04.03.05.006-5,MICROCIRURGIA COM CORDOTOMIA / MIELOTOMIA A CEU ABERTO
04.03.05.007-3,MICROCIRURGIA COM RIZOTOMIA A CEU ABERTO
04.03.05.008-1,NEUROTOMIA PERCUTÂNEA DE NERVOS PERIFÈRICOS POR AGENTES QUIMICOS
04.03.05.009-0,RIZOTOMIA PERCUTANEA COM BALÃO
04.03.05.010-3,RIZOTOMIA / NEUROTOMIA PERCUTÂNEA POR RADIOFREQUÊNCIA
04.03.05.011-1,SIMPATECTOMIA LOMBAR A CEU ABERTO
04.03.05.012-0,SIMPATECTOMIA LOMBAR VIDEOCIRURGICA
04.03.05.013-8,SIMPATECTOMIA TORACICA A CEU ABERTO
04.03.05.014-6,SIMPATECTOMIA TORACICA VIDEOCIRURGICA
04.03.05.015-4,TRATAMENTO DE LESAO DO SISTEMA NEUROVEGETATIVO POR AGENTES QUIMICOS
04.03.05.016-2,TRATAMENTO ABLATIVO POR ESTEREOTAXIA EM ESTRUTURA PROFUNDA DE SNC PARA TRATATAMENTO DE MOVIMENTOS ANORMAIS OU CONTROLE DA DOR
04.03.06.001-0,EXPLORAÇÃO DIAGNÓSTICA CIRÚRGICA PARA IMPLANTAÇÃO BILATERAL DE ELETRODOS SUBDURAIS (INCLUI VÍDEO-ELETROENCEFALOGRAMA)
04.03.06.002-8,EXPLORAÇÃO DIAGNÓSTICA CIRÚRGICA PARA IMPLANTAÇÃO UNILATERAL DE ELETRODOS SUBDURAIS (INCLUI VIDEO-ELETROENCEFALOGRAMA)
04.03.06.003-6,MICROCIRURGIA PARA LESIONECTOMIA COM MONITORAMENTO INTRAOPERATORIO
04.03.06.004-4,MICROCIRURGIA PARA LESIONECTOMIA SEM MONITORAMENTO INTRA-OPERATORIO
04.03.06.005-2,MICROCIRURGIA PARA LOBECTOMIA TEMPORAL / AMIGDALO-HIPOCAMPECTOMIA SELETIVA
04.03.06.006-0,MICROCIRURGIA PARA RESSECCAO MULTILOBAR / HEMISFERECTOMIA / CALOSOTOMIA
04.03.06.007-9,MICROCIRURGIA PARA RESSECÇÃO UNILOBAR EXTRATEMPORAL COM MONITORAMENTO INTRAOPERATORIO
04.03.06.008-7,MICROCIRURGIA PARA RESSECCAO UNILOBAR EXTRATEMPORAL SEM MONITORAMENTO INTRA-OPERATORIO
04.03.06.009-5,TRANSECÇÕES SUB-PIAIS MULTIPLAS EM AREAS ELOQUENTES
04.03.07.001-5,ANGIOPLASTIA INTRACRANIANA EM VASO-ESPASMO
04.03.07.004-0,EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MAIOR QUE 1,5 CM COM COLO ESTREITO
04.03.07.005-8,EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MAIOR QUE 1,5 CM COM COLO LARGO
04.03.07.008-2,EMBOLIZAÇÃO DE FISTULA ARTERIO-VENOSA DA CABEÇA E PESCOÇO
04.03.07.009-0,EMBOLIZAÇÃO DE FÍSTULA CAROTIDO-CAVERNOSA DIRETAS
04.03.07.010-4,EMBOLIZAÇÃO DE MALFORMAÇÃO ARTERIO-VENOSA DURAL COMPLEXA DO SISTEMA NERVOSO CENTRAL
04.03.07.011-2,EMBOLIZAÇÃO DE MALFORMAÇÃO ARTERIO-VENOSA DURAL SIMPLES DO SISTEMA NERVOSO CENTRAL
04.03.07.012-0,EMBOLIZAÇÃO DE MALFORMAÇÃO ARTERIO-VENOSA INTRAPARENQUIMATOSA DO SISTEMA NERVOSO CENTRAL
04.03.07.013-9,EMBOLIZAÇÃO DE TUMOR INTRA-CRANIANO OU DA CABEÇA E PESCOÇO
04.03.07.014-7,TRATAMENTO DE ANEURISMA GIGANTE POR OCLUSÃO DO VASO PORTADOR
04.03.07.015-5,EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MENOR QUE 1,5 CM COM COLO ESTREITO
04.03.07.016-3,EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MENOR DO QUE 1,5 CM COM COLO LARGO
04.03.08.001-0,IMPLANTE DE ELETRODO PARA ESTIMULAÇÃO CEREBRAL
04.03.08.002-9,IMPLANTE DE GERADOR DE PULSOS P/ARA ESTIMULAÇÃO CEREBRAL (INCLUI CONECTOR)
04.03.08.003-7,IMPLANTE INTRAVENTRICULAR DE BOMBA DE INFUSÃO DE FARMACOS
04.03.08.004-5,MIECTOMIA SUPERSELETIVA
04.03.08.005-3,NEUROTOMIA SUPERSELETIVA PARA MOVIMENTOS ANORMAIS
04.03.08.006-1,NUCLEOTRACTOMIA TRIGEMINAL E/OU ESPINAL
04.03.08.007-0,TRATAMENTO DE DOR POR ESTEREOTAXIA
04.03.08.008-8,TRATAMENTO DE MOVIMENTO ANORMAL POR ESTEREOTAXIA
04.03.08.009-6,TRATAMENTO DE MOVIMENTO ANORMAL POR ESTEREOTAXIA COM MICRO-REGISTRO
04.03.08.010-0,TROCA DE GERADOR DE PULSOS PARA ESTIMULAÇÃO CEREBRAL
04.04.01.001-6,ADENOIDECTOMIA
04.04.01.002-4,AMIGDALECTOMIA
04.04.01.003-2,AMIGDALECTOMIA C/ ADENOIDECTOMIA
04.04.01.004-0,ANTROTOMIA DA MASTOIDE (DRENAGEM DE OTITE NO LACTENTE)
04.04.01.005-9,DRENAGEM DE ABSCESSO FARINGEO
04.04.01.006-7,DRENAGEM DE ABSCESSO PERIAMIGDALIANO
04.04.01.007-5,DRENAGEM DE FURUNCULO NO CONDUTO AUDITIVO EXTERNO
04.04.01.008-3,DRENAGEM DO SACO ENDO-LINFATICO - SHUNT (C/ AUDICAO POR VIA TRANSMASTOIDEA)
04.04.01.009-1,DUCHA DE POLITZER (UNI / BILATERAL)
04.04.01.010-5,ESTAPEDECTOMIA
04.04.01.011-3,EXERESE DE PAPILOMA EM LARINGE
04.04.01.012-1,EXERESE DE TUMOR DE VIAS AEREAS SUPERIORES, FACE E PESCOCO
04.04.01.013-0,EXTIRPACAO DE TUMOR DO CAVUM E FARINGE
04.04.01.014-8,IMPLANTE COCLEAR
04.04.01.015-6,INFILTRACAO MEDICAMENTOSA EM CORNETO INFERIOR
04.04.01.016-4,LABIRINTECTOMIA MEMBRANOSA / OSSEA COM OU S/ AUDICAO
04.04.01.017-2,LARINGECTOMIA PARCIAL
04.04.01.018-0,LARINGECTOMIA TOTAL
04.04.01.019-9,LARINGECTOMIA TOTAL C/ ESVAZIAMENTO CERVICAL
04.04.01.020-2,LARINGORRAFIA
04.04.01.021-0,MASTOIDECTOMIA RADICAL
04.04.01.022-9,MASTOIDECTOMIA SUBTOTAL
04.04.01.023-7,MICROCIRURGIA OTOLOGICA
04.04.01.024-5,MIRINGOTOMIA (TIMPANOPLASTIA)
04.04.01.025-3,PARACENTESE DO TIMPANO
04.04.01.026-1,PUNCAO TRANSMEATICA DO SEIO MAXILAR (UNILATERAL)
04.04.01.027-0,REMOCAO DE CERUMEN DE CONDUTO AUDITIVO EXTERNO UNI / BILATERAL
04.04.01.028-8,RESSECCAO DE GLOMO TIMPANICO
04.04.01.029-6,RESSECCAO DE SINEQUIAS
04.04.01.030-0,RETIRADA DE CORPO ESTRANHO DA CAVIDADE AUDITIVA E NASAL
04.04.01.031-8,RETIRADA DE CORPO ESTRANHO DE OUVIDO / FARINGE / LARINGE / NARIZ
04.04.01.032-6,SINUSOTOMIA BILATERAL
04.04.01.033-4,SINUSOTOMIA ESFENOIDAL
04.04.01.034-2,TAMPONAMENTO NASAL ANTERIOR E/OU POSTERIOR
04.04.01.035-0,TIMPANOPLASTIA (UNI / BILATERAL)
04.04.01.036-9,TIMPANOTOMIA P/ TUBO DE VENTILACAO
04.04.01.037-7,TRAQUEOSTOMIA
04.04.01.038-5,TRATAMENTO CIRURGICO DE ESTENOSE DO CONDUTO AUDITIVO
04.04.01.039-3,TRATAMENTO CIRURGICO DE PERICONDRITE DE PAVILHAO
04.04.01.040-7,TRATAMENTO CIRURGICO DE RINITE CRONICA (OZENA)
04.04.01.041-5,TURBINECTOMIA
04.04.01.043-1,ARITENOIDECTOMIA COM LARINGOFISSURA
04.04.01.044-0,ANTROSTOMIA DE MAXILA INTRANASAL
04.04.01.045-8,LARINGOFISSURA PARA COLOCACAO DE MOLDE NOS TRAUMATISMOS DE LARINGE
04.04.01.046-6,PAROTIDECTOMIA PARCIAL OU SUBTOTAL
04.04.01.047-4,PLÁSTICA DO CANAL DE STENON
04.04.01.048-2,SEPTOPLASTIA PARA CORREÇÃO DE DESVIO
04.04.01.049-0,TRATAMENTO CIRÚRGICO DE IMPERFURAÇÃO COANAL (UNI / BILATERAL)
04.04.01.050-4,TRATAMENTO CIRÚRGICO DE PERFURAÇÃO DO SEPTO NASAL
04.04.01.051-2,SINUSOTOMIA TRANSMAXILAR
04.04.01.052-0,SEPTOPLASTIA REPARADORA NÂO ESTÉTICA
04.04.01.053-9,RESSECÇÃO DE TUMOR DO ACÚSTICO (PELA FOSSA MEDIA)
04.04.01.054-7,RESSECÇÃO DO GLOMO JUGULAR
04.04.01.055-5,TRATAMENTO CIRÚRGICO DE RINOFIMA
04.04.01.056-3,TIREOPLASTIA
04.04.01.057-1,CIRURGIA DE IMPLANTE COCLEAR UNILATERAL
04.04.01.058-0,CIRURGIA DE IMPLANTE COCLEAR BILATERAL
04.04.01.059-8,CIRURGIA PARA REVISÃO DO IMPLANTE COCLEAR SEM DISPOSITIVO INTERNO DO IMPLANTE COCLEAR
04.04.01.060-1,CIRURGIA PARA PRÓTESE AUDITIVA ANCORADA NO OSSO - 1º TEMPO
04.04.01.061-0,CIRURGIA PARA PRÓTESE AUDITIVA ANCORADA NO OSSO - 2º TEMPO
04.04.01.062-8,CIRURGIA PARA PRÓTESE AUDITIVA ANCORADA NO OSSO UNILATERAL  TEMPO ÚNICO
04.04.01.063-6,CIRURGIA PARA REVISÃO DA PRÓTESE AUDITIVA ANCORADA NO OSSO
04.04.01.064-4,CIRURGIA PARA REIMPLANTAÇÃO DA PRÓTESE AUDITIVA ANCORADA NO OSSO
04.04.01.065-2,CIRURGIA PARA PRÓTESE AUDITIVA ANCORADA NO OSSO BILATERAL - TEMPO ÚNICO
04.04.02.001-1,ALONGAMENTO DE COLUMELA
04.04.02.003-8,CORREÇÃO CIRÚRGICA DE FÍSTULA ORO-NASAL / ORO-SINUSAL
04.04.02.004-6,CORREÇÃO CIRÚRGICA DE FÍSTULA SALIVAR COM RETALHO
04.04.02.005-4,DRENAGEM DE ABSCESSO DA BOCA E ANEXOS
04.04.02.006-2,ENXERTO TOTAL / PARCIAL INTRATEMPORAL DE NERVO FACIAL
04.04.02.007-0,RESSECÇÃO DE GLÂNDULA SALIVAR
04.04.02.008-9,EXCISÃO DE RÂNULA OU FENÔMENO DE RETENÇÃO SALIVAR
04.04.02.009-7,EXCISÃO E SUTURA DE LESÃO NA BOCA
04.04.02.010-0,EXCISÃO EM CUNHA DE LÁBIO
04.04.02.011-9,EXCISÃO PARCIAL DE LÁBIO COM ENXERTO LIVRE / ROTAÇÃO DE RETALHO
04.04.02.013-5,EXPLORAÇÃO/ DESCOMPRESSÃO TOTAL / PARCIAL DO NERVO FACIAL
04.04.02.014-3,GLOSSECTOMIA PARCIAL
04.04.02.017-8,MAXILECTOMIA PARCIAL
04.04.02.020-8,LABIOPLASTIA PARA REDUÇÃO OU CORREÇÃO DA HIPERTROFIA DO LÁBIO
04.04.02.022-4,RECONSTRUÇÃO TOTAL DE CAVIDADE ORBITÁRIA
04.04.02.023-2,RECONSTRUÇÃO TOTAL OU PARCIAL DE LÁBIO
04.04.02.024-0,RECONSTRUÇÃO TOTAL OU PARCIAL DE NARIZ
04.04.02.027-5,RESSECÇÃO DE LESÃO MALIGNA E BENIGNA DA REGIÃO CRANIO E BUCOMAXILOFACIAL
04.04.02.029-1,RESSECÇÃO DO CÔNDILO MANDIBULAR COM OU SEM RECONSTRUÇÃO
04.04.02.031-3,RETIRADA DE CORPO ESTRANHO DOS OSSOS DA FACE
04.04.02.032-1,RINOPLASTIA PARA DEFEITOS PÓS-TRAUMÁTICOS
04.04.02.034-8,TRATAMENTO CIRÚRGICO DE ATRESIA NARINÁRIA
04.04.02.035-6,TRATAMENTO CIRÚRGICO DE FÍSTULA E CISTOS ORO-MAXILARES
04.04.02.038-0,TRATAMENTO CIRÚRGICO DE OSTEOMIELITE DE OSSOS DA FACE
04.04.02.039-9,TRATAMENTO CIRÚRGICO DE PARALISIA FACIAL (SUSPENSÃO DE HEMIFACE)
04.04.02.042-9,TRATAMENTO CIRÚRGICO DO SOALHO DA ÓRBITA
04.04.02.044-5,CONTENÇÃO DE DENTES POR SPLINTAGEM
04.04.02.045-3,OSTEOTOMIA DA MAXILA
04.04.02.046-1,OSTEOTOMIA DA MANDIBULA
04.04.02.047-0,RECONSTRUÇÃO DO SULCO GENGIVO-LABIAL
04.04.02.048-8,OSTEOTOMIA DAS FRATURAS ALVEOLO-DENTÁRIAS
04.04.02.049-6,OSTEOSSÍNTESE DE FRATURA UNILATERAL DO CÔNDILO MANDIBULAR
04.04.02.050-0,OSTEOSSÍNTESE DA FRATURA COMPLEXA DA MANDÍBULA
04.04.02.051-8,OSTEOSSÍNTESE DE FRATURA COMPLEXA DA MAXILA
04.04.02.052-6,OSTEOSSINTESE DE FRATURA DO COMPLEXO ÓRBITO-ZIGOMÁTICO-MAXILAR
04.04.02.053-4,OSTEOSSÍNTESE DE FRATURA DO COMPLEXO NASO-ÓRBITO-ETMOIDAL
04.04.02.054-2,REDUÇÃO CIRÚRGICA DE FRATURA DOS OSSOS PRÓPRIOS DO NARIZ
04.04.02.055-0,OSTEOSSÍNTESE DE FRATURA SIMPLES DE MANDÍBULA
04.04.02.056-9,ARTROPLASTIA DA ARTICULAÇÃO TÊMPORO-MANDIBULAR (RECIDIVANTE OU NÃO)
04.04.02.057-7,REDUÇÃO DE FRATURA ALVEOLO-DENTÁRIA SEM OSTEOSSÍNTESE
04.04.02.058-5,REDUÇÃO DE FRATURA DA MAXILA - LE FORT I SEM OSTEOSSÍNTESE.
04.04.02.059-3,REDUÇÃO DE FRATURA DA MAXILA - LE FORT II, SEM OSTEOSSÍNTESE
04.04.02.060-7,REDUÇÃO DE FRATURA DA MANDÍBULA SEM OSTEOSSINTESE.
04.04.02.061-5,REDUÇÃO DE LUXAÇÃO TÊMPORO-MANDIBULAR
04.04.02.062-3,RETIRADA DE MATERIAL DE SÍNTESE ÓSSEA / DENTÁRIA
04.04.02.063-1,RETIRADA DE MEIOS DE FIXAÇÃO MAXILO-MANDIBULAR
04.04.02.064-0,TRATAMENTO CIRÚRGICO DE ANQUILOSE DA ARTICULAÇÃO TÊMPORO-MANDIBULAR
04.04.02.065-8,TRATAMENTO CIRÚRGICO DE OSTEOMA, ODONTOMA /OUTRAS LESÕES ESPECIFICADAS
04.04.02.066-6,TRATAMENTO CIRÚRGICO DE FRATURA DO OSSO ZIGOMATICO SEM OSTEOSSÍNTESE
04.04.02.067-4,RECONSTRUÇÃO PARCIAL DO LÁBIO TRAUMATIZADO
04.04.02.069-0,OSTEOTOMIA CRÂNIO-FACIAL
04.04.02.070-4,OSTEOSSÍNTESE DA FRATURA DO OSSO ZIGOMÁTICO
04.04.02.071-2,ELEVAÇÃO DO ASSOALHO DO SEIO MAXILAR
04.04.02.072-0,OSTEOSSÍNTESE DE FRATURA BILATERAL DO CÔNDILO MANDIBULAR
04.04.02.073-9,RECONSTRUÇÃO PARCIAL DE MANDÍBULA / MAXILA
04.04.02.077-1,RESSECÇÃO DE LESÃO DA BOCA
04.04.02.078-0,RECONSTRUÇÃO TOTAL DE MANDÍBULA/MAXILA
04.04.03.001-7,ALONGAMENTO DE COLUMELA EM PACIENTE COM ANOMALIAS CRÂNIO E BUCOMAXILOFACIAL
04.04.03.003-3,OSTEOTOMIA DE MAXILA EM PACIENTES COM ANOMALIA CRANIO E BUCOMAXILOFACIAL
04.04.03.004-1,MICROCIRURGIA OTOLÓGICA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.005-0,OSTEOTOMIA DA MANDÍBULA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.006-8,OSTEOPLASTIA DO MENTO COM OU SEM IMPLANTE ALOPLÁSTICO
04.04.03.007-6,LABIOPLASTIA UNILATERAL EM DOIS TEMPOS
04.04.03.008-4,ALVEOLOPLASTIA COM ENXERTO ÓSSEO EM PACIENTE COM ANOMALIA CRÂNIOFACIAL
04.04.03.010-6,PALATOPLASTIA PRIMÁRIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.012-2,LABIOPLASTIA SECUNDÁRIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.013-0,RINOSEPTOPLASTIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
04.04.03.015-7,RECONSTRUÇÃO TOTAL DE LÁBIO EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL
